SupplierPartNumber,Partnumber,Cost,CoreCost,TotalCost,Inventory
FelPro 8548PT-2,35200061,15.44,0.00,15.44,99
WK518,35200096,21.79,0.00,21.79,99
FA23R,35221345,12.61,0.00,12.61,99
TS24,35221551,7.06,0.00,7.06,99
Walker 35335,35230278,1.25,0.00,1.25,99
FD311T,35230529,2.23,0.00,2.23,99
FD77T,35230530,4.94,0.00,4.94,99
Standard FD75,35230531,4.99,0.00,4.99,99
Standard FD110,35230533,2.47,0.00,2.47,99
FD-8183V,35230535,7.73,0.00,7.73,99
Bussman AGC4,35230582,0.50,0.00,0.50,99
Dorman 615171,35230588,5.69,0.00,5.69,99
Moog K700531,35230740,5.85,0.00,5.85,99
9145CV,35230804,14.05,0.00,14.05,99
PGD183M,35230810,5.88,0.00,5.88,99
Continental 15391,35231005,13.50,0.00,13.50,99
DEA A2257,35231009,6.65,0.00,6.65,99
Timken HM89410,35231031,10.00,0.00,10.00,99
NAT-330663,35231053,6.80,0.00,6.80,99
Edelmann 70640,35231594,13.49,0.00,13.49,99
89320,35231897,39.79,0.00,39.79,99
FelPro 2601002,35231956,55.79,0.00,55.79,99
Wix 42054,35232322,6.39,0.00,6.39,99
Bussmann AGX20,35232600,0.35,0.00,0.35,99
Carson 7500,35232971,14.69,0.00,14.69,99
Cardone 302809,35233059,63.99,0.00,63.99,99
Walker 35336,35233286,1.35,0.00,1.35,99
Mahle CB583P,35233375,16.42,0.00,16.42,99
Melling-MRK610,35233663,3.30,0.00,3.30,99
FelPro 35019,35233810,2.21,0.00,2.21,99
22441165,35233859,89.79,0.00,89.79,99
FelPro OS30217C,35233863,11.43,0.00,11.43,99
HM8A,35234432,6.03,0.00,6.03,99
K8159,35234493,60.79,0.00,60.79,99
Dayco-15405,35234644,11.58,0.00,11.58,99
Standard TL104,35234652,10.59,0.00,10.59,99
MOOG-253,35234693,5.40,0.00,5.40,99
SS588,35234738,28.79,0.00,28.79,99
ACD 104006,35235027,17.38,0.00,17.38,99
OS10701C1,35235150,12.19,0.00,12.19,99
Acdelco 3351201,35235539,198.79,0.00,198.79,99
CA9895,35235540,7.27,0.00,7.27,99
ZAG1255802SH,35267760,125.79,0.00,125.79,99
FS8548PT2,35267972,83.99,0.00,83.99,99
H5000W,35267982,3.96,0.00,3.96,99
TYC 800022P,35268302,6.56,0.00,6.56,99
ACDELCO R44TS,35268371,2.01,0.00,2.01,99
R43TS,35268372,1.73,0.00,1.73,99
10200910,35268417,9.44,0.00,9.44,99
H36649,35268445,7.39,0.00,7.39,99
DORMAN 90082,35268447,3.57,0.00,3.57,99
Dorman-41255,35268978,3.61,0.00,3.61,99
FEL-PRO 5511,35269063,1.13,0.00,1.13,99
Motorcraft MCF2240,35269389,149.99,0.00,149.99,99
Motorcraft MCF2241,35269390,150.79,0.00,150.79,99
830465,35269475,107.79,0.00,107.79,99
Centric 12061098,35269707,64.89,0.00,64.89,99
Mahle 2233501,35270266,4.17,0.00,4.17,99
V1853,35270267,16.49,0.00,16.49,99
V1539,35270268,83.79,0.00,83.79,99
KS2305,35270281,60.79,0.00,60.79,99
25057,35270282,0.15,0.00,0.15,99
KT34205S,35270370,36.79,0.00,36.79,99
7016B,35270822,2.03,0.00,2.03,99
MOTORAD 300195,35270963,3.72,0.00,3.72,99
AIRTEXE8151,35271039,3.35,0.00,3.35,99
LARES-2035,35271268,5.66,0.00,5.66,99
PF61F,35271500,41.16,0.00,41.16,99
11002640,35271507,30.89,0.00,30.89,99
SP1268MP,35271734,35.99,0.00,35.99,99
BRCK5096,36000229,26.79,0.00,26.79,99
Motorcraft AD1100,37000498,51.79,0.00,51.79,99
DG542,37000509,46.79,0.00,46.79,99
Motorcraft MEF296,37000736,47.79,0.00,47.79,99
V156,38001116,3.17,0.00,3.17,99
Autolite AP24,38001638,2.49,0.00,2.49,99
FelPro 2901,38001931,24.79,0.00,24.79,99
FelPro OS13260T,38001946,35.79,0.00,35.79,99
Mahle MS771G,38002606,131.79,0.00,131.79,99
Monroe MA705,38002664,71.79,0.00,71.79,99
Dorman 65330,38002726,0.50,0.00,0.50,99
22411143,38003012,31.79,0.00,31.79,99
272ap20,38003193,23.79,0.00,23.79,99
Four Seasons 84831,38003195,0.94,0.00,0.94,99
National 7692S,38003266,8.90,0.00,8.90,99
Mational 3404,38003267,8.21,0.00,8.21,99
Wagner 1142,38003352,0.69,0.00,0.69,99
WAGNER-1157,38003354,4.91,0.00,4.91,99
Wagner 1816,38003360,0.39,0.00,0.39,99
WAGNER 1895,38003363,0.61,0.00,0.61,99
Edelmann 613000,38003436,1.27,0.00,1.27,99
3m 08008,38003527,9.00,0.00,9.00,99
Wagner-53,38003574,4.91,0.00,4.91,99
Wagner 631,38003662,0.50,0.00,0.50,99
National A6,38003925,6.39,0.00,6.39,99
National A2,38003926,5.27,0.00,5.27,99
National 6815,38003928,2.37,0.00,2.37,99
Standard PS10,38003937,8.23,0.00,8.23,99
2640R,38003995,26.79,0.00,26.79,99
Raybestos 2641,38003997,26.79,0.00,26.79,99
Edelmann 7877,38004022,11.23,0.00,11.23,99
Moog ES2004S,38004042,7.28,0.00,7.28,99
Edelmann-7168,38004047,9.04,0.00,9.04,99
FelPro VS13264C,38004087,8.97,0.00,8.97,99
FelPro VS13264R,38004088,11.86,0.00,11.86,99
EDELMANN 7889,38004114,11.23,0.00,11.23,99
Anchor 2221,38004117,10.35,0.00,10.35,99
ANCHOR-2220,38004118,3.98,0.00,3.98,99
Z126,38004124,37.79,0.00,37.79,99
Mahle D27094,38004130,1.51,0.00,1.51,99
G26052,38004132,7.08,0.00,7.08,99
Moog K8160,38004142,84.79,0.00,84.79,99
a2333,38004153,4.70,0.00,4.70,99
OS12701C,38004156,11.43,0.00,11.43,99
WC36020,38004188,12.00,0.00,12.00,99
