Vendor Part Number,Error
disc,"Expected brand prefix ""DISC"" not found in ['METRA', 'AP / EASTERN', 'AP / EASTERN']"
F5RZ11A152A,"Expected brand prefix ""F5RZ11A152A"" not found in ['ROSTRA', 'STANDARD MOTOR PRODUCTS', 'WELLS', 'MOTORCRAFT']"
58204,"Expected brand prefix ""58204"" not found in ['EDELMANN', 'DAVICO']"
SP519,"Expected brand prefix ""SP519"" not found in ['RAYBESTOS', 'RAYBESTOS']"
F232,"Expected brand prefix ""F232"" not found in ['AUTOBEST', 'MOTORCRAFT', 'QUICK STEER', 'PRECISION', 'HASTINGS / BALDWIN', 'SKP', 'GATES', 'GATES', 'ENGINETECH', 'AIMCO', 'BUSSMANN', 'GATES', 'CONTINENTAL', 'GATES', 'ULTRA-POWER', 'CONTINENTAL', 'GATES', 'GATES', 'ENGINETECH', 'GATES', 'DAYCO', 'CONTINENTAL', 'ENGINETECH', 'GATES', 'DAYCO', 'SKP', 'GATES', 'MEVOTECH', 'HASTINGS / BALDWIN', 'SUNSONG', 'DAYCO', 'GATES', 'MEVOTECH', 'AUTOBEST', 'DAYCO', 'STANDARD MOTOR PRODUCTS', 'GATES', 'FVP', 'DAYCO', 'DAYCO', 'GATES', 'CONTINENTAL', 'DAYCO', 'DAYCO', 'CONTINENTAL', 'DAYCO', 'ENGINETECH', 'ENGINETECH', 'ATP', 'STANDARD MOTOR PRODUCTS']"
C4067,"Expected brand prefix ""C4067"" not found in ['RAYBESTOS', 'HITACHI', 'HITACHI']"
B30,"Expected brand prefix ""B30"" not found in ['HASTINGS / BALDWIN', 'DAYCO', 'GATES', 'ATP', 'TIMKEN']"
4057LL,"Expected brand prefix ""4057LL"" not found in ['PHILIPS', 'WAGNER']"
ATSCO 6049,"Expected brand prefix ""ATSCO"" not found in ['ANCHOR', 'CSF']"
26,"Expected brand prefix ""26"" not found in ['CHAMPION', 'MOTORCRAFT', 'CHAMPION', 'BOSCH', 'AUTOLITE', 'ACDELCO', 'CHAMPION', 'ACDELCO', 'DENSO', 'ACDELCO', 'ACDELCO', 'CHAMPION', 'ACDELCO', 'BOSCH', 'VALEO', 'LARES']"
